municipality_name,county_name
Asker,Akershus
Aurskog-Høland,Akershus
Bærum,Akershus
Eidsvoll,Akershus
Enebakk,Akershus
Frogn,Akershus
Gjerdrum,Akershus
Hurdal,Akershus
Jevnaker,Akershus
Lillestrøm,Akershus
Lunner,Akershus
Lørenskog,Akershus
Nannestad,Akershus
Nes,Akershus
Nesodden,Akershus
Nittedal,Akershus
Nordre Follo,Akershus
Rælingen,Akershus
Ullensaker,Akershus
Vestby,Akershus
Ås,Akershus
Aremark,Østfold
Fredrikstad,Østfold
Halden,Østfold
Hvaler,Østfold
Indre Østfold,Østfold
Marker,Østfold
Moss,Østfold
Rakkestad,Østfold
Råde,Østfold
Sarpsborg,Østfold
Skiptvet,Østfold
Våler,Østfold
Alvdal,Hedmark
Eidskog,Hedmark
Elverum,Hedmark
Engerdal,Hedmark
Folldal,Hedmark
Grue,Hedmark
Hamar,Hedmark
Kongsvinger,Hedmark
Løten,Hedmark
Nord-Odal,Hedmark
Os,Hedmark
Rendalen,Hedmark
Ringsaker,Hedmark
Stange,Hedmark
Stor-Elvdal,Hedmark
Sør-Odal,Hedmark
Tolga,Hedmark
Trysil,Hedmark
Tynset,Hedmark
Våler,Hedmark
Åmot,Hedmark
Åsnes,Hedmark
Dovre,Oppland
Etnedal,Oppland
Gausdal,Oppland
Gjøvik,Oppland
Gran,Oppland
Jevnaker,Oppland
Lesja,Oppland
Lillehammer,Oppland
Lom,Oppland
Lunner,Oppland
Nord-Aurdal,Oppland
Nord-Fron,Oppland
Nordre Land,Oppland
Ringebu,Oppland
Sel,Oppland
Skjåk,Oppland
Søndre Land,Oppland
Sør-Aurdal,Oppland
Sør-Fron,Oppland
Vang,Oppland
Vestre Slidre,Oppland
Vestre Toten,Oppland
Vågå,Oppland
Østre Toten,Oppland
Øyer,Oppland
Øystre Slidre,Oppland
Drammen,Buskerud
Flesberg,Buskerud
Flå,Buskerud
Gol,Buskerud
Hemsedal,Buskerud
Hol,Buskerud
Hole,Buskerud
Kongsberg,Buskerud
Krødsherad,Buskerud
Lier,Buskerud
Modum,Buskerud
Nesbyen,Buskerud
Nore og Uvdal,Buskerud
Ringerike,Buskerud
Rollag,Buskerud
Sigdal,Buskerud
Øvre Eiker,Buskerud
Ål,Buskerud
